# column 1: time [ps]
# column 2: msd xyz [A^2]
# column 3: msd x [A^2]
# column 4: msd y [A^2]
# column 5: msd z [A^2]
# column 6: number of samples [-]
70.3125 22.3893 5.57102 15.7755 1.04281 (count: 54)
78.125 22.0709 5.29874 15.7582 1.01398 (count: 53)
85.9375 24.8206 6.46942 17.4259 0.925311 (count: 52)
93.75 21.5648 6.3771 14.3281 0.859595 (count: 51)
101.562 23.1419 6.02116 16.2525 0.868216 (count: 50)
109.375 25.774 8.23096 16.8236 0.719386 (count: 49)
117.188 25.215 7.16055 17.4409 0.613602 (count: 48)
125 28.1314 7.79213 19.7408 0.59843 (count: 47)
132.812 28.7592 7.84162 20.1934 0.724196 (count: 46)
140.625 29.0868 8.23186 20.0673 0.787628 (count: 45)
148.438 29.4741 9.24883 19.3226 0.902688 (count: 44)
156.25 31.1033 8.79914 21.3016 1.00251 (count: 43)
164.062 33.3484 9.07416 23.2632 1.01105 (count: 42)
171.875 36.1794 8.68783 26.432 1.05956 (count: 41)
179.688 35.2681 8.64314 25.5265 1.0985 (count: 40)
187.5 37.415 9.65962 26.5895 1.16594 (count: 39)
195.312 10.3012 0.522948 7.12954 2.64868 (count: 1)
