# column 1: time [ps]
# column 2: msd xyz [A^2]
# column 3: msd x [A^2]
# column 4: msd y [A^2]
# column 5: msd z [A^2]
0.3075 3.73048 1.25326 1.24831 1.22891
0.31 3.785 1.27152 1.26659 1.24689
0.3125 3.83982 1.28988 1.28497 1.26497
0.315 3.89495 1.30836 1.30345 1.28314
0.3175 3.95038 1.32693 1.32204 1.30142
0.32 4.00612 1.34561 1.34072 1.31979
0.3225 4.06215 1.36439 1.35951 1.33826
0.325 4.11849 1.38328 1.37839 1.35682
0.3275 4.17512 1.40226 1.39737 1.37549
0.33 4.23205 1.42135 1.41645 1.39424
0.3325 4.28927 1.44054 1.43563 1.4131
0.335 4.34678 1.45983 1.45491 1.43204
0.3375 4.40458 1.47922 1.47428 1.45108
0.34 4.46267 1.4987 1.49375 1.47022
0.3425 4.52104 1.51828 1.51331 1.48944
0.345 4.57969 1.53796 1.53297 1.50876
0.3475 4.63863 1.55774 1.55272 1.52817
0.35 4.69784 1.57761 1.57256 1.54767
0.3525 4.75733 1.59758 1.5925 1.56726
0.355 4.81709 1.61763 1.61252 1.58693
0.3575 4.87712 1.63779 1.63263 1.6067
0.36 4.93743 1.65803 1.65284 1.62656
0.3625 4.998 1.67837 1.67313 1.64651
0.365 5.05884 1.6988 1.6935 1.66654
0.3675 5.11995 1.71932 1.71397 1.68666
0.37 5.18132 1.73993 1.73452 1.70687
0.3725 5.24296 1.76063 1.75516 1.72717
0.375 5.30486 1.78142 1.77588 1.74756
0.3775 5.36702 1.8023 1.79669 1.76803
0.38 5.42945 1.82327 1.81758 1.78859
0.3825 5.49214 1.84433 1.83856 1.80924
0.385 5.55508 1.86548 1.85962 1.82998
0.3875 5.61829 1.88672 1.88076 1.85081
0.39 5.68175 1.90805 1.90198 1.87172
0.3925 5.74547 1.92946 1.92329 1.89272
0.395 5.80945 1.95096 1.94468 1.91381
0.3975 5.87368 1.97255 1.96615 1.93498
0.4 5.93817 1.99423 1.9877 1.95624
0.4025 6.00291 2.01599 2.00933 1.97759
0.405 6.06791 2.03784 2.03105 1.99903
0.4075 6.13316 2.05977 2.05284 2.02056
0.41 6.19867 2.08179 2.07471 2.04217
0.4125 6.26442 2.10389 2.09667 2.06387
0.415 6.33043 2.12608 2.1187 2.08565
0.4175 6.39669 2.14835 2.14081 2.10753
